UNITED STATES SENATOR CLASS III,"['Feingold, Russ', 'Anderson, Phillip', 'Schiess, John', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 1,"['Solen, Ryan', 'Lebeck, Jason', 'Zimmerman, Spencer', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 2,"['Theron, Peter', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 3,"['Peterson, Ryan', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 4,"['Craig, Andy', 'Raymond, Robert', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 5,"['Penebaker, Khary', 'Arndt, John', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 6,"['Lloyd, Sarah', 'Dahlke, Jeff', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 7,"['Hoeft, Mary', 'SCATTERING, SCATTERING']"
REPRESENTATIVE IN CONGRESS DISTRICT 8,"['Nelson, Tom', 'Gribben, Wendy', 'Kobishop, Jerry', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 2,"['Powers, John', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 4,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 6,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 8,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 10,"['Odeen, Diane', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 12,"['Stippen, Bryan', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 14,"['Smith, Brian', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 16,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 18,"['Harris, Mark', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 20,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 22,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 24,"['Lassa, Julie', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 26,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 28,"['SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 30,"['Wimberger, Eric', 'SCATTERING, SCATTERING']"
STATE SENATOR DISTRICT 32,"['Kapanke, Dan', 'DeNure, Chip', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 1,"['Utesch, Lynn', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2,"['Grams, Mark', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 3,"['Wasileski, Sharon', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 4,"['Lee, Tony', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 5,"['Kelly, Sam', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 6,"['Switalla, William', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 7,"['Marshall, Zachary', 'Bughman, Matthew', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 8,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 9,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 10,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 11,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 12,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 13,"['Walz-Chojnacki, Gregory', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 14,"['Rockwood, Chris', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 15,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 16,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 17,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 18,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 19,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 20,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 21,"['Redmond, Jack', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 22,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 23,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 24,"['SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 25,"['Kossik, Ronald', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 26,"['Clarke, Rebecca', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 27,"['Bulebosh, Nanette', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,"['Peterson, Jeff', 'Zilka, Vincent', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,"['Ard, Scottie', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,"['Nelson, Scott', 'Taylor, Aaron', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 31,"['Anderson, Clinton', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 32,"['Welcher, Christine', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 33,"['White, Brandon', 'SCATTERING, SCATTERING']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 34,"['Michalsen, Matthew', 'SCATTERING, SCATTERING']"
