UNITED STATES SENATOR CLASS III,"['Johnson, Ron']"
REPRESENTATIVE IN CONGRESS DISTRICT 1,"['Ryan, Paul']"
REPRESENTATIVE IN CONGRESS DISTRICT 2,"['Pocan, Mark']"
REPRESENTATIVE IN CONGRESS DISTRICT 3,"['Kind, Ron']"
REPRESENTATIVE IN CONGRESS DISTRICT 4,"['Moore, Gwen']"
REPRESENTATIVE IN CONGRESS DISTRICT 5,"['Jr., F.']"
REPRESENTATIVE IN CONGRESS DISTRICT 6,"['Grothman, Glenn']"
REPRESENTATIVE IN CONGRESS DISTRICT 7,"['Duffy, Sean']"
REPRESENTATIVE IN CONGRESS DISTRICT 8,"['Gallagher, Mike']"
STATE SENATOR DISTRICT 2,"['Cowles, Robert']"
STATE SENATOR DISTRICT 4,"['Taylor, Lena']"
STATE SENATOR DISTRICT 6,"['Johnson, LaTonya']"
STATE SENATOR DISTRICT 8,"['Darling, Alberta']"
STATE SENATOR DISTRICT 10,"['Harsdorf, Sheila']"
STATE SENATOR DISTRICT 12,"['Tiffany, Tom']"
STATE SENATOR DISTRICT 14,"['Olsen, Luther']"
STATE SENATOR DISTRICT 16,"['Miller, Mark']"
STATE SENATOR DISTRICT 18,"['Feyen, Dan']"
STATE SENATOR DISTRICT 20,"['Stroebel, Duey']"
STATE SENATOR DISTRICT 22,"['Wirch, Robert']"
STATE SENATOR DISTRICT 24,"['Testin, Patrick']"
STATE SENATOR DISTRICT 26,"['Risser, Fred']"
STATE SENATOR DISTRICT 28,"['Craig, Dave']"
STATE SENATOR DISTRICT 30,"['Hansen, Dave']"
STATE SENATOR DISTRICT 32,"['Shilling, Jennifer']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 1,"['Kitchens, Joel']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 2,"['Jacque, Andre']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 3,"['Tusler, Ron']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 4,"['Steffen, David']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 5,"['Steineke, Jim']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 6,"['Tauchen, Gary']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 7,"['Riemer, Daniel']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 8,"['Zamarripa, JoCasta']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 9,"['Zepnick, Josh']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 10,"['Bowen, David']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 11,"['Fields, Jason']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 12,"['Kessler, Frederick']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 13,"['Hutton, Rob']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 14,"['Kooyenga, Dale']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 15,"['Sanfelippo, Joe']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 16,"['Young, Leon']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 17,"['Crowley, David']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 18,"['Goyke, Evan']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 19,"['Brostoff, Jonathan']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 20,"['Sinicki, Christine']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 21,"['Rodriguez, Jessie']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 22,"['Brandtjen, Janel']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 23,"['Ott, Jim']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 24,"['Knodl, Dan']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 25,"['Tittl, Paul']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 26,"['Katsma, Terry']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 27,"['Vorpagel, Tyler']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 28,"['Jarchow, Adam']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 29,"['Stafsholt, Rob']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 30,"['Zimmerman, Shannon']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 31,"['Loudenbeck, Amy']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 32,"['August, Tyler']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 33,"['Horlacher, Cody']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 34,"['Swearingen, Rob']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 35,"['Czaja, Mary']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 36,"['Mursau, Jeffrey']"
REPRESENTATIVE TO THE ASSEMBLY DISTRICT 37,"['Jagler, John']"
